0.075	0.07	0.08	4.619	0.034	-0.034	0.062	-0.062
0.085	0.08	0.09	3.792	0.031	-0.031	0.051	-0.051
0.095	0.09	0.1	3.176	0.028	-0.028	0.042	-0.042
0.11	0.1	0.12	2.456	0.018	-0.018	0.032	-0.032
0.13	0.12	0.14	1.825	0.015	-0.015	0.022	-0.022
0.15	0.14	0.16	1.401	0.013	-0.013	0.016	-0.016
0.17	0.16	0.18	1.074	0.011	-0.011	0.011	-0.011
0.19	0.18	0.2	0.8262	0.01	-0.01	0.0083	-0.0083
0.225	0.2	0.25	0.5525	0.0051	-0.0051	0.0065	-0.0065
0.275	0.25	0.3	0.303	0.0038	-0.0038	0.0058	-0.0058
0.325	0.3	0.35	0.1312	0.0025	-0.0025	0.0044	-0.0044
